radius_m,abs_radius_m,U_axial_m_per_s,U_mag_m_per_s,U_poiseuille_m_per_s,error_m_per_s
0.0015151515,0.0015151515,0.084676389,0.08467638900008664,0.08475548424044597,-7.909524044596994e-05
0.0015555556,0.0015555556,0.078298465,0.07829846500007098,0.0785855357813639,-0.0002870707813639045
0.0015959596,0.0015959596,0.071920541,0.07192054100005599,0.07225323589301373,-0.0003326948930137269
0.0016363636,0.0016363636,0.065542618,0.06554261800004184,0.06575856950572435,-0.00021595150572435717
0.0016767677,0.0016767677,0.058996576,0.05899657600003016,0.059101519942393585,-0.00010494394239358301
0.0017171717,0.0017171717,0.051946178,0.051946178000023144,0.05228212015536824,-0.0003359421553682379
0.0017575758,0.0017575758,0.04489578,0.04489578000001644,0.04530033638858557,-0.00040455638858556686
0.0017979798,0.0017979798,0.037845383,0.03784538300001023,0.038156203201824224,-0.0003108202018242204
0.0018383838,0.0018383838,0.030716398,0.030716398000005293,0.03084970351612368,-0.00013330551612368222
0.0018787879,0.0018787879,0.023037298,0.023037298000003974,0.023380818645092352,-0.000343520645092351
0.0019191919,0.0019191919,0.015358199,0.015358199000002647,0.015749585559655787,-0.0003913865596557875
0.001959596,0.001959596,0.0076790994,0.007679099400001324,0.007955966485172482,-0.000276867085172482
0.002,0.002,0.0,0.0,0.0,0.0
