distance,x,y,z,U_x,U_y,U_z,p
0.035326633,1.110223e-20,1.110223e-20,0.036326633,-6.0177027e-09,-7.0227113e-09,0.20015627,0.0024613801
0.035517588,1.110223e-20,1.110223e-20,0.036517588,-6.2329613e-09,-7.2752502e-09,0.20015661,0.002333426
0.035708543,1.110223e-20,1.110223e-20,0.036708543,-6.44822e-09,-7.527789e-09,0.20015694,0.002205472
0.035899497,1.110223e-20,1.110223e-20,0.036899497,-6.6634786e-09,-7.7803279e-09,0.20015728,0.0020775179
0.036090452,1.110223e-20,1.110223e-20,0.037090452,-6.9942649e-09,-8.1801132e-09,0.20015759,0.0019495644
0.036281407,1.110223e-20,1.110223e-20,0.037281407,-7.4534153e-09,-8.7435057e-09,0.20015788,0.0018216114
0.036472362,1.110223e-20,1.110223e-20,0.037472362,-7.9125658e-09,-9.3068981e-09,0.20015816,0.0016936584
0.036663317,1.110223e-20,1.110223e-20,0.037663317,-8.3717162e-09,-9.8702905e-09,0.20015844,0.0015657055
0.036854271,1.110223e-20,1.110223e-20,0.037854271,-8.8308666e-09,-1.0433683e-08,0.20015873,0.0014377525
0.037045226,1.110223e-20,1.110223e-20,0.038045226,-9.2313068e-09,-1.0900299e-08,0.20015902,0.0013098003
0.037236181,1.110223e-20,1.110223e-20,0.038236181,-9.4425696e-09,-1.1055077e-08,0.20015932,0.0011818505
0.037427136,1.110223e-20,1.110223e-20,0.038427136,-9.6538323e-09,-1.1209856e-08,0.20015963,0.0010539006
0.03761809,1.110223e-20,1.110223e-20,0.03861809,-9.8650951e-09,-1.1364635e-08,0.20015993,0.00092595083
0.037809045,1.110223e-20,1.110223e-20,0.038809045,-1.0076358e-08,-1.1519414e-08,0.20016023,0.00079800102
0.038,1.110223e-20,1.110223e-20,0.039,-1.0287621e-08,-1.1674193e-08,0.20016054,0.00067005121
