model,global_s_mm,distance_from_inlet_mm,pressure_loss_Pa,pressure_loss_mmHg,data_type
Analytical (Poiseuille),23.421200542374628,3.749602349746514,33.639995286024934,0.252321411965204,model
Analytical (Poiseuille),23.50271363693433,3.831115444306217,34.371299531373275,0.25780666005140396,model
Analytical (Poiseuille),23.58422673149404,3.9126285388659277,35.10260377672167,0.2632919081376042,model
Analytical (Poiseuille),23.665739826053745,3.994141633425631,35.83390802207001,0.2687771562238041,model
Analytical (Poiseuille),23.747252920613455,4.0756547279853415,36.56521226741841,0.2742624043100044,model
Analytical (Poiseuille),23.82876601517316,4.157167822545045,37.29651651276675,0.2797476523962043,model
Analytical (Poiseuille),23.91027910973287,4.238680917104755,38.02782075811515,0.2852329004824046,model
Analytical (Poiseuille),23.991792204292572,4.320194011664459,38.75912500346349,0.2907181485686045,model
Analytical (Poiseuille),24.07330529885228,4.4017071062241655,39.49042924881185,0.29620339665480455,model
Analytical (Poiseuille),24.154818393411986,4.483220200783872,40.221733494160226,0.3016886447410047,model
Analytical (Poiseuille),24.236331487971693,4.564733295343579,40.95303773950859,0.3071738928272047,model
Analytical (Poiseuille),24.3178445825314,4.646246389903286,41.684341984856964,0.31265914091340485,model
Analytical (Poiseuille),24.399357677091107,4.727759484462993,42.415646230205326,0.3181443889996049,model
Analytical (Poiseuille),24.480870771650814,4.8092725790227,43.1469504755537,0.32362963708580506,model
Analytical (Poiseuille),24.56238386621052,4.890785673582407,43.87825472090206,0.3291148851720051,model
Analytical (Poiseuille),24.643896960770228,4.972298768142114,44.60955896625044,0.33460013325820526,model
Analytical (Poiseuille),24.725410055329935,5.053811862701821,45.3408632115988,0.3400853813444053,model
Analytical (Poiseuille),24.80692314988964,5.135324957261528,46.07216745694717,0.3455706294306054,model
Analytical (Poiseuille),24.88843624444935,5.2168380518212345,46.80347170229554,0.35105587751680545,model
Analytical (Poiseuille),24.969949339009055,5.298351146380941,47.53477594764391,0.35654112560300555,model
Analytical (Poiseuille),25.051462433568762,5.379864240940648,48.26608019299228,0.36202637368920565,model
Analytical (Poiseuille),25.13297552812847,5.461377335500355,48.997384438340646,0.36751162177540575,model
Analytical (Poiseuille),25.214488622688176,5.542890430060062,49.728688683689015,0.37299686986160585,model
Analytical (Poiseuille),25.296001717247883,5.624403524619769,50.45999292903738,0.3784821179478059,model
Analytical (Poiseuille),25.37751481180759,5.705916619179476,51.19129717438575,0.38396736603400605,model
Analytical (Poiseuille),25.459027906367297,5.787429713739183,51.922601419734114,0.3894526141202061,model
Analytical (Poiseuille),25.540541000927004,5.86894280829889,52.65390566508249,0.3949378622064062,model
Analytical (Poiseuille),25.62205409548671,5.950455902858597,53.38520991043085,0.40042311029260624,model
Analytical (Poiseuille),25.703567190046417,6.0319689974183035,54.11651415577923,0.4059083583788064,model
Analytical (Poiseuille),25.785080284606124,6.11348209197801,54.84781840112759,0.41139360646500645,model
Analytical (Poiseuille),25.866593379165828,6.194995186537714,55.57912264647593,0.4168788545512063,model
Analytical (Poiseuille),25.948106473725538,6.276508281097424,56.31042689182433,0.42236410263740665,model
Analytical (Poiseuille),26.02961956828524,6.3580213756571275,57.04173113717267,0.4278493507236065,model
Analytical (Poiseuille),26.111132662844952,6.439534470216838,57.773035382521066,0.43333459880980685,model
Analytical (Poiseuille),26.192645757404655,6.521047564776541,58.504339627869406,0.4388198468960067,model
Analytical (Poiseuille),26.274158851964366,6.602560659336252,59.2356438732178,0.444305094982207,model
Analytical (Poiseuille),26.35567194652407,6.684073753895955,59.966948118566144,0.4497903430684069,model
Analytical (Poiseuille),26.43718504108378,6.765586848455666,60.69825236391454,0.4552755911546072,model
Analytical (Poiseuille),26.518698135643483,6.847099943015369,61.42955660926288,0.4607608392408071,model
Analytical (Poiseuille),26.60021123020319,6.928613037575076,62.16086085461126,0.46624608732700723,model
Analytical (Poiseuille),26.681724324762897,7.010126132134783,62.89216509995962,0.4717313354132073,model
Analytical (Poiseuille),26.763237419322603,7.09163922669449,63.623469345307996,0.47721658349940743,model
Analytical (Poiseuille),26.84475051388231,7.1731523212541966,64.35477359065636,0.48270183158560753,model
Analytical (Poiseuille),26.926263608442017,7.2546654158139035,65.08607783600472,0.4881870796718075,model
Analytical (Poiseuille),27.007776703001724,7.33617851037361,65.8173820813531,0.4936723277580077,model
Analytical (Poiseuille),27.08928979756143,7.417691604933317,66.54868632670147,0.4991575758442078,model
Analytical (Poiseuille),27.170802892121138,7.499204699493024,67.27999057204984,0.5046428239304079,model
Analytical (Poiseuille),27.252315986680845,7.580717794052731,68.0112948173982,0.5101280720166079,model
Analytical (Poiseuille),27.33382908124055,7.662230888612438,68.74259906274658,0.515613320102808,model
Analytical (Poiseuille),27.41534217580026,7.743743983172145,69.47390330809495,0.5210985681890081,model
Analytical (Poiseuille),27.496855270359966,7.825257077731852,70.20520755344332,0.5265838162752082,model
Analytical (Poiseuille),27.578368364919672,7.906770172291559,70.93651179879167,0.5320690643614082,model
Analytical (Poiseuille),27.65988145947938,7.9882832668512656,71.66781604414004,0.5375543124476083,model
Analytical (Poiseuille),27.741394554039086,8.069796361410972,72.39912028948842,0.5430395605338085,model
Analytical (Poiseuille),27.822907648598793,8.15130945597068,73.13042453483678,0.5485248086200085,model
Analytical (Poiseuille),27.9044207431585,8.232822550530386,73.86172878018515,0.5540100567062086,model
Analytical (Poiseuille),27.985933837718207,8.314335645090093,74.59303302553352,0.5594953047924087,model
Analytical (Poiseuille),28.067446932277914,8.3958487396498,75.3243372708819,0.5649805528786089,model
Analytical (Poiseuille),28.14896002683762,8.477361834209507,76.05564151623025,0.5704658009648089,model
Analytical (Poiseuille),28.230473121397324,8.55887492876921,76.7869457615786,0.5759510490510088,model
Analytical (Poiseuille),28.311986215957035,8.64038802332892,77.51825000692699,0.5814362971372091,model
Analytical (Poiseuille),28.393499310516738,8.721901117888624,78.24955425227533,0.586921545223409,model
Analytical (Poiseuille),28.47501240507645,8.803414212448335,78.98085849762373,0.5924067933096093,model
Analytical (Poiseuille),28.55652549963615,8.884927307008038,79.71216274297207,0.5978920413958092,model
Analytical (Poiseuille),28.638038594195862,8.966440401567748,80.44346698832047,0.6033772894820095,model
Analytical (Poiseuille),28.719551688755566,9.047953496127452,81.1747712336688,0.6088625375682094,model
Analytical (Poiseuille),28.801064783315276,9.129466590687162,81.9060754790172,0.6143477856544096,model
Analytical (Poiseuille),28.88257787787498,9.210979685246866,82.63737972436554,0.6198330337406095,model
Analytical (Poiseuille),28.96409097243469,9.292492779806576,83.36868396971394,0.6253182818268098,model
Analytical (Poiseuille),29.045604066994393,9.37400587436628,84.09998821506228,0.6308035299130097,model
Analytical (Poiseuille),29.127117161554104,9.45551896892599,84.83129246041068,0.63628877799921,model
Analytical (Poiseuille),29.208630256113807,9.537032063485693,85.56259670575902,0.6417740260854099,model
Analytical (Poiseuille),29.290143350673517,9.618545158045404,86.29390095110742,0.6472592741716102,model
Analytical (Poiseuille),29.37165644523322,9.700058252605107,87.02520519645576,0.6527445222578101,model
Analytical (Poiseuille),29.453169539792928,9.781571347164814,87.75650944180413,0.6582297703440102,model
Analytical (Poiseuille),29.534682634352635,9.86308444172452,88.4878136871525,0.6637150184302103,model
Analytical (Poiseuille),29.61619572891234,9.944597536284228,89.21911793250088,0.6692002665164105,model
Analytical (Poiseuille),29.69770882347205,10.026110630843935,89.95042217784923,0.6746855146026105,model
Analytical (Poiseuille),29.779221918031755,10.107623725403641,90.6817264231976,0.6801707626888106,model
Analytical (Poiseuille),29.860735012591462,10.189136819963348,91.41303066854597,0.6856560107750107,model
Analytical (Poiseuille),29.94224810715117,10.270649914523055,92.14433491389434,0.6911412588612108,model
Analytical (Poiseuille),30.023761201710876,10.352163009082762,92.87563915924271,0.6966265069474109,model
Analytical (Poiseuille),30.105274296270583,10.433676103642469,93.60694340459108,0.7021117550336109,model
Analytical (Poiseuille),30.18678739083029,10.515189198202176,94.33824764993945,0.707597003119811,model
Analytical (Poiseuille),30.268300485389997,10.596702292761883,95.06955189528782,0.7130822512060111,model
Analytical (Poiseuille),30.349813579949704,10.67821538732159,95.80085614063618,0.7185674992922112,model
Analytical (Poiseuille),30.43132667450941,10.759728481881297,96.53216038598455,0.7240527473784113,model
Analytical (Poiseuille),30.512839769069117,10.841241576441004,97.26346463133292,0.7295379954646114,model
Analytical (Poiseuille),30.594352863628824,10.92275467100071,97.99476887668129,0.7350232435508115,model
Analytical (Poiseuille),30.67586595818853,11.004267765560417,98.72607312202966,0.7405084916370116,model
Analytical (Poiseuille),30.757379052748238,11.085780860120124,99.45737736737803,0.7459937397232117,model
Analytical (Poiseuille),30.838892147307945,11.167293954679831,100.1886816127264,0.7514789878094118,model
Analytical (Poiseuille),30.92040524186765,11.248807049239534,100.91998585807474,0.7569642358956117,model
Analytical (Poiseuille),31.00191833642736,11.330320143799245,101.65129010342314,0.762449483981812,model
Analytical (Poiseuille),31.083431430987062,11.411833238358948,102.38259434877148,0.7679347320680119,model
Analytical (Poiseuille),31.164944525546773,11.493346332918659,103.11389859411987,0.7734199801542122,model
