segment_id,s_start_m,s_end_m,segment_length_m,radius_mean_m,diameter_mean_m,diameter_prox_m,diameter_dist_m,cross_section_area_m2,curvature_mean_per_m,resistance_segment
13,0.003431208897382,0.0036899812985211,0.00025877243,0.001250046441412,0.002500092882824,0.002400853321760866,0.0025277710563940763,4.909103278007086e-06,430.61995999998925,944542.6703874798
14,0.0036899812985211,0.0039545753970742,0.00026459395,0.0012780359579823,0.0025560719159646,0.0025277710563940763,0.0025554527229553876,5.13140175907973e-06,374.7381600000188,883925.7861504412
15,0.0039545753970742,0.0042190207168459,0.00026444526,0.0012774169390563,0.0025548338781126,0.0025554527229553876,0.0025328482803369952,5.126432156259838e-06,473.79284999998146,885142.6539324685
16,0.0042190207168459,0.0044787717051804,0.00025975084,0.0012556264812115,0.002511252962423,0.0025328482803369952,0.0024800589564224164,4.953028255645858e-06,562.1216999999704,931372.2297958148
17,0.0044787717051804,0.004738766234368,0.0002599946,0.0012244178515614,0.0024488357031228,0.0024800589564224164,0.0023869844276593684,4.709872800987294e-06,406.14996000000053,1030988.6410780431
18,0.004738766234368,0.0050025470554828,0.00026378073,0.001162116207035,0.00232423241407,0.0023869844276593684,0.002274174057764291,4.242765108067483e-06,317.5394600000006,1289000.3130833392
19,0.0050025470554828,0.0052707334980368,0.00026818665,0.0011116398177449,0.0022232796354898,0.002274174057764291,0.0021566225364694313,3.882201395662675e-06,487.6795000000005,1565268.8245621575
20,0.0052707334980368,0.0055408980697393,0.00027016454,0.0010447368890896,0.0020894737781792,0.0021566225364694313,0.00206304792260851,3.428970367557281e-06,622.3568999999748,2021197.7797167648
21,0.0055408980697393,0.0058121257461607,0.00027122782,0.0010182590402994,0.0020365180805988,0.00206304792260851,0.002031003932843281,3.25736497091644e-06,601.7156,2248585.0626591183
22,0.0058121257461607,0.0060902526602149,0.0002781267,0.0010126747606602,0.0020253495213204,0.002031003932843281,0.0019963747055138197,3.221735219013009e-06,494.9026,2357061.6467581885
23,0.0060902526602149,0.0063785337843,0.00028828095,0.0009831710201965,0.001966342040393,0.0019963747055138197,0.0019499137105270607,3.0367427997390507e-06,345.17952999997465,2749842.4925401565
24,0.0063785337843,0.006671451497823,0.00029291766,0.0009666105772396,0.0019332211544792,0.0019499137105270607,0.0019220650919316278,2.9353031388163206e-06,196.07881,2990525.9046512702
25,0.006671451497823,0.0069630821235477,0.0002916306,0.0009554790247017,0.0019109580494034,0.0019220650919316278,0.0019164824828217634,2.8680861206987155e-06,114.83973999999752,3118578.2025435446
26,0.0069630821235477,0.007250852882862,0.00028777093,0.0009609668989025,0.001921933797805,0.0019164824828217634,0.0018766706175939588,2.9011269233820745e-06,100.25348000000253,3007609.083802256
27,0.007250852882862,0.0075370757840573,0.00028622296,0.0009158254492334,0.0018316508984668,0.0018766706175939588,0.001777741249493164,2.6349676521810454e-06,74.33955400000455,3626283.760918424
28,0.0075370757840573,0.0078252702951431,0.0002881948,0.0008617301253947,0.0017234602507894,0.001777741249493164,0.001737938463859048,2.332880131106232e-06,46.66660300000008,4658104.193327193
29,0.0078252702951431,0.0081120217218995,0.00028675148,0.0008761720898864,0.0017523441797728,0.001737938463859048,0.0018199287015970456,2.411730092016982e-06,60.291397000000124,4336668.205765798
30,0.0081120217218995,0.0083932718262076,0.00028125048,0.000943108307618,0.001886216615236,0.0018199287015970456,0.0019224625722022869,2.794299889839477e-06,79.9085850000172,3168510.544886193
31,0.0083932718262076,0.0086723249405622,0.0002790529,0.0009792126966309,0.0019584253932618,0.0019224625722022869,0.001999186336144061,3.012339694311428e-06,179.06941,2705120.3009499847
