s_m,radius_m,cumulative_resistance_Pa_s_m3,pressure_Pa,pressure_mmHg,flow_m3_s
0.007630292425310613,0.0008617301253947499,45577799.17226608,456.48971317802835,3.423963885765503,1.033396035006115e-06
0.007920551347729388,0.0008761720898864268,50432648.39139038,451.4727312444328,3.3863333226656724,1.033396035006115e-06
0.008207304416996693,0.0009431083076180502,54478112.3956638,447.29216478265664,3.3549764088646783,1.033396035006115e-06
0.008490171027181309,0.0009792126966309135,57647686.05162601,444.01673993392546,3.3304086342383514,1.033396035006115e-06
0.008771034225540212,0.0010198442681975412,60340329.487100795,441.2341728840206,3.3095376073267775,1.033396035006115e-06
0.009048092304935144,0.0009997182974731485,62882264.538950585,438.607347280196,3.2898347405544173,1.033396035006115e-06
0.009321182114954576,0.0010300451614079092,65340845.94324357,436.0666590052598,3.270777958665935,1.033396035006115e-06
0.009595402223502287,0.0010300802910859583,67662065.7502295,433.66791966034293,3.2527858842527335,1.033396035006115e-06
0.009873635267964682,0.0009503322832890816,70464935.46374132,430.7714452117611,3.2310604792289426,1.033396035006115e-06
0.010154587799401944,0.0008218952459052698,75039830.63881956,426.0437666772666,3.1955998760689655,1.033396035006115e-06
0.010441091676398038,0.0007826210665492613,81670315.3985421,419.19185001640085,3.144206132644281,1.033396035006115e-06
0.010740998336192477,0.000847035893505443,88255415.63830827,412.38683353850865,3.093164170493307,1.033396035006115e-06
0.011056607870465938,0.0008280417786519804,94375540.12495302,406.06232116026615,3.0457262954371083,1.033396035006115e-06
0.011379866196943271,0.0007934287340739432,101538339.52717847,398.6603126584622,2.9902065124920285,1.033396035006115e-06
0.011699424253280178,0.0008211608567318279,108729077.74403335,391.2294322963974,2.9344701721876167,1.033396035006115e-06
0.012008090256494708,0.0008228274993932497,115172104.7571147,384.57123372764187,2.8845294379595408,1.033396035006115e-06
0.012302678306908144,0.0007954793641510433,121739648.97713256,377.7843595709481,2.833623554784267,1.033396035006115e-06
0.012583909181410608,0.0008233923618128686,128001394.96915399,371.3134960905777,2.785087953155351,1.033396035006115e-06
0.012859276044579985,0.0009374611635740373,132554660.34582813,366.6081697039921,2.749795005355396,1.033396035006115e-06
0.013152520807599367,0.0013948819812829856,134732825.88786048,364.35726206926887,2.732911763019373,1.033396035006115e-06
0.013452044745679155,0.0014327487808291498,135448492.95056972,363.61769456428067,2.7273645352175984,1.033396035006115e-06
0.013725158534577512,0.0013771852946075466,136119068.75431234,362.924724187522,2.7221668155857395,1.033396035006115e-06
0.013976045313232101,0.001435635816029171,136732795.5384992,362.2905013621662,2.7174097400441504,1.033396035006115e-06
0.014224681368486152,0.0014164793565331032,137305965.4944356,361.69818980231696,2.712967025714563,1.033396035006115e-06
0.0145021409765596,0.0018301069462524943,137752215.0582202,361.2370372724787,2.7095080877310473,1.033396035006115e-06
0.014794499931580943,0.0012505025129783966,138446060.53617197,360.52002010665643,2.7041300018500807,1.033396035006115e-06
0.015083444012138512,0.0012853544923732494,139513458.81710503,359.4169749553679,2.695856459964356,1.033396035006115e-06
0.015381942500513565,0.0013374409038464478,140479038.02218023,358.4191492333588,2.6883721308813158,1.033396035006115e-06
0.015683869028227094,0.001334501272856492,141382250.537803,357.4857730009463,2.6813712140602926,1.033396035006115e-06
0.01598240324983349,0.0012539870607732734,142406007.00390014,356.4278271280697,2.6734359455158914,1.033396035006115e-06
0.01627679711834502,0.0012656547962031793,143519937.94467318,355.27669531060417,2.664801722975984,1.033396035006115e-06
0.01656753867447398,0.0013026207879775623,144540951.93927628,354.2215834968956,2.6568877116822103,1.033396035006115e-06
0.016856656249273204,0.0012769436657828447,145537528.90575987,353.191724811153,2.649163114948418,1.033396035006115e-06
0.017151190229665526,0.0013083597268534124,146544280.07943317,352.15135214004124,2.641359656621122,1.033396035006115e-06
0.017455051523786666,0.0013375536977746803,147490720.14931458,351.17330472445497,2.6340236774459953,1.033396035006115e-06
0.01776397847362482,0.001333153839494941,148416598.4255599,350.2165057848847,2.626847075388043,1.033396035006115e-06
0.01807284806222319,0.001334400828784322,149346665.82914054,349.2553778177361,2.619638002863264,1.033396035006115e-06
0.01837951723604936,0.0013245828604081368,150282197.03431165,348.28860357968773,2.612386579706933,1.033396035006115e-06
0.018684170303349214,0.0012938601027427915,151271712.2667908,347.2660424618656,2.6047167193851397,1.033396035006115e-06
0.018987413788707386,0.0012854860581860419,152316409.32512704,346.1864566639984,2.5966191376066847,1.033396035006115e-06
0.01928717892609874,0.0012695480261178842,153389298.71409217,345.0777370234417,2.5883030334336548,1.033396035006115e-06
0.01958005507262637,0.0012102670928372595,154576920.50167346,343.85045337706833,2.5790976236260206,1.033396035006115e-06
0.01986500408388493,0.001174716105730082,155922725.55168915,342.4597037744909,2.5686661149284507,1.033396035006115e-06
0.02014511218264466,0.0011969742700110196,157273764.2946414,341.0635456943844,2.558194039201215,1.033396035006115e-06
0.020424475525635335,0.0012105167710696515,158542116.16559833,339.7528358999449,2.5483628800943947,1.033396035006115e-06
0.0207038398089742,0.0011722383101861137,159866961.81995234,338.38374565374045,2.5380938303786356,1.033396035006115e-06
0.02098378052575553,0.0011736048773172863,161276455.9558594,336.9271800023297,2.5271686593535176,1.033396035006115e-06
0.021267826802748573,0.0011521346266997708,162757972.5806842,335.3961865964401,2.5156852327180816,1.033396035006115e-06
0.02155874890573064,0.0011403272746913897,164364451.5859819,333.73605756204483,2.503233206537892,1.033396035006115e-06
0.021857500347769673,0.0011308385896784635,166076760.21046486,331.9665646187974,2.489960881315892,1.033396035006115e-06
0.022164893589704644,0.0011362053305615152,167851237.9537881,330.13282635464054,2.4762066752271985,1.033396035006115e-06
0.02247725751218912,0.0011069720184234567,169735474.6707558,328.1856636023132,2.4616017131629677,1.033396035006115e-06
0.022786232419785127,0.001124269054368099,171637384.1361245,326.2202379018606,2.4468597673441788,1.033396035006115e-06
0.023088449985264468,0.0011152688300762588,173469478.4542113,324.32695889779245,2.432658967745702,1.033396035006115e-06
0.023387302984908376,0.0010468469649121805,175575565.0549536,322.15053735520587,2.4163344185896243,1.033396035006115e-06
0.023689447203228645,0.0009782495679716233,178346317.16029462,319.2872531155616,2.394857961293422,1.033396035006115e-06
0.024004387679762616,0.0009683225273309282,181691740.56434762,315.8301058343966,2.3689271525659423,1.033396035006115e-06
