segment_id,length_m,diameter_m,area_m2,curvature_mean_per_m,resistance_segment_raw,resistance_segment_kR,recommended_division_pts,wall_stiffness_E_Pa,wall_thickness_m,pwv_m_per_s,outlet_resistance_Pa_s_m3,outlet_compliance_m3_per_Pa
55,0.00029988674,0.0026748818076928,5.619518114020462e-06,78.79095,835347.2071884042,918537.9008589512,5,,,,,
56,0.00029817046,0.0026690025457128,5.594842399042917e-06,38.394863,837908.9150977206,921354.7245526067,5,,,,,
57,0.00029316824,0.0025079741215464,4.940102764131078e-06,86.04777500001228,1056702.811401878,1161937.9030232627,5,,,,,
58,0.0002899693,0.0025313095924062,5.032460921515934e-06,159.79309,1007161.4360340748,1107462.7930996066,5,,,,,
59,0.00028593198,0.002605241575955,5.330720128156964e-06,272.6699799999796,885113.307606978,973260.1157883209,5,,,,,
60,0.00028675166,0.0025538873315656,5.12263425158412e-06,324.11809999999934,961229.6276787842,1056956.7203357713,5,,,,,
61,0.00029666093,0.0026167194537068,5.377794561691832e-06,268.9082599999835,902318.4626920428,992178.7006591312,5,,,,,
62,0.00030522808,0.0026751073955492,5.620466005249147e-06,173.7453599999852,849938.9576789587,934582.8169730103,5,,,,,
63,0.00030669585,0.0026663076789898,5.583549983533651e-06,80.53394,865356.3274070596,951535.574227662,5,,,,,
64,0.00030511498,0.0026688016575686,5.594000215350396e-06,82.33971000001303,857682.4388455844,943097.4572027574,5,,,,,
65,0.00030233673,0.0026491657208162,5.511986370017895e-06,163.79568,875351.6313059279,962526.2920785245,5,,,,,
66,0.00030112048,0.0025877202054854,5.259258471485187e-06,185.37493999999919,957633.2310893538,1053002.165217271,5,,,,,
67,0.00029954468,0.002570972116372,5.191401453477184e-06,180.35751000000076,977687.998407832,1075054.1499685352,5,,,,,
68,0.00029423094,0.0025390960522356,5.06346884145847e-06,185.00222999999738,1009485.2621164032,1110018.0447521592,5,,,,,
69,0.00028589918,0.0024205341856744,4.60163664272436e-06,170.39972,1187671.0123741718,1305948.986516634,5,,,,,
70,0.0002785281,0.00234943221146,4.335265692203061e-06,133.4192999999917,1303603.4300287496,1433426.9006553018,5,,,,,
71,0.00027631113,0.002393948540022,4.501108715929581e-06,86.0375400000083,1199685.2184831812,1319159.6653396345,5,,,,,
72,0.00027705278,0.0024210335421392,4.603535474844813e-06,55.77591,1149972.4169305274,1264496.0572123216,5,,,,,
73,0.00027631133,0.0023444766203722,4.316996472659261e-06,58.46381800000945,1304197.1050966007,1434079.6987324648,5,,,,,
74,0.00027819496,0.0023472097546344,4.327067640204075e-06,108.78081,1306982.6222429443,1437142.6204138827,5,,,,,
75,0.00028444448,0.0023042692533994,4.1701946928352e-06,169.09998000000016,1438774.668674227,1582059.5946219414,5,,,,,
76,0.0002918148,0.0022806545493826,4.0851583624841545e-06,183.70544,1538145.615288931,1691326.7112464788,5,,,,,
77,0.00029995202,0.0022616771793568,4.017455854850846e-06,179.76926000000068,1634773.126369869,1797577.178632661,5,,,,,
78,0.00030893288,0.002272410661123,4.055678473181339e-06,169.04892,1652133.119178081,1816666.0212309998,5,,,,,
79,0.00030979948,0.0022139440368468,3.849666952741043e-06,161.73495,1838832.988702878,2021958.9877582334,5,,,,,
80,0.0003022207,0.002248538108736,3.970913130482924e-06,136.66958999999932,1685975.8315739415,1853879.0671787981,5,,,,,
81,0.00029641422,0.0022305376601524,3.90759011054243e-06,76.89989500000034,1707611.0242115532,1877668.868903183,5,,,,,
82,0.00029555548,0.0020936939298242,3.4428354742117028e-06,105.66069000000114,2193382.723716516,2411817.6795058837,5,,,,,
83,0.0003029334,0.0019564991359432,3.0064168873602512e-06,203.63879999999887,2948197.9895612616,3241803.6109354133,5,,,,,
84,0.00032090157,0.0019366450546618,2.94570969245725e-06,234.1588099999949,3253118.5720681828,3577090.6740564927,5,,,,,
85,0.00034068275,0.002030365686728,3.237713467893025e-06,192.50742000000042,2858783.2060504365,3143484.173406885,5,,,,,
86,0.0003492878,0.0019865670086828,3.0995333881248824e-06,137.6656500000077,3198148.9434015267,3516646.7210606956,5,,,,,
87,0.00034338047,0.0020104985612994,3.1746614230617244e-06,138.38452000000623,2997013.281720626,3295480.3283578563,5,,,,,
88,0.0003293141,0.0020545469603424,3.315293834304099e-06,178.7014800000009,2635567.6842489694,2898039.027879018,5,,,,,
89,0.00031474204,0.0019730299570004,3.0574350500800205e-06,184.39917,2961748.541151752,3256703.6370638334,5,,,,,
90,0.00030306028,0.0018949929247402,2.8203633791176626e-06,124.16024000001015,3351404.2484602933,3685164.4403908188,5,,,,,
91,0.00029718768,0.0019045609837718,2.8489160236230475e-06,96.94076500000472,3220916.197229968,3541681.323870091,5,,,,,
92,0.0003012025,0.0020303621257696,3.237702110970627e-06,151.9949299999911,2527508.8715840154,2779218.8365855655,5,,,,,
93,0.00031119992,0.002014714082439,3.187988348903157e-06,208.15591,2693481.347795376,2961720.2067794823,5,,,,,
94,0.0003182307,0.0019347888435994,2.940065665409445e-06,230.33821,3238440.8156498447,3560951.1868423116,5,,,,,
95,0.00032167687,0.0017739913831252,2.471683698810314e-06,195.15134,4631716.384478532,5092980.509855686,5,,,,,
96,0.0003235705,0.0017389651243118,2.375043813300738e-06,122.737114,5045841.255023074,5548347.31543079,5,,,,,
97,0.00032453367,0.001827165969578,2.622079634730791e-06,81.069046,4152177.8166161184,4565685.5770243555,5,,,,,
98,0.00032812558,0.0019049146710022,2.8499742399648405e-06,76.15309000000039,3553580.238114868,3907474.7654189477,5,,,,,
99,0.0003372247,0.0019559634255968,3.004770734691969e-06,78.82165999999997,3285523.5350756343,3612722.7877957122,5,,,,,
100,0.00034624024,0.001984075946961,3.0917649232517726e-06,75.25611,3186196.253771237,3503503.685029513,5,,,,,
101,0.00034258157,0.0019548855008798,3.0014598096270583e-06,123.96523,3345082.588929788,3678213.218401774,5,,,,,
102,0.00032356856,0.0017891967384152,2.51423621108275e-06,208.49694999998678,4502586.497960271,4950990.815175488,5,,,,,
103,0.00030357644,0.0017556286285312,2.42077925875253e-06,222.73029,4556858.918380351,5010668.126236337,5,,,,,
104,0.00029358224,0.0019233074073672,2.905275286594697e-06,142.44705,3059589.288411066,3364288.1645904477,5,,,,,
105,0.00029323186,0.0020158151353964,3.19147380938323e-06,113.76861000000474,2532424.5389511646,2784624.0462347833,5,,,,,
