segment_id,s_start_m,s_end_m,length_m,radius_m,area_m2,resistance_Pa_s_m3
56,0.015508364886045456,0.0158065352588892,0.00029817046,0.001334501272856492,5.594842399042917e-06,837908.9150977206
57,0.0158065352588892,0.016099702566862106,0.00029316824,0.0012539870607732734,4.940102764131078e-06,1056702.811401878
58,0.016099702566862106,0.016389671713113785,0.0002899693,0.0012656547962031793,5.032460921515934e-06,1007161.4360340748
59,0.016389671713113785,0.01667560450732708,0.00028593198,0.0013026207879775623,5.330720128156964e-06,885113.307606978
60,0.01667560450732708,0.016962356865406036,0.00028675166,0.0012769436657828447,5.12263425158412e-06,961229.6276787842
61,0.016962356865406036,0.0172590184956789,0.00029666093,0.0013083597268534124,5.3777945616918324e-06,902318.4626920427
62,0.0172590184956789,0.01756424643099308,0.00030522808,0.0013375536977746803,5.620466005249147e-06,849938.9576789587
63,0.01756424643099308,0.017870942130684853,0.00030669585,0.001333153839494941,5.583549983533651e-06,865356.3274070596
64,0.017870942130684853,0.018176056444644928,0.00030511498,0.001334400828784322,5.594000215350396e-06,857682.4388455844
65,0.018176056444644928,0.0184783935546875,0.00030233673,0.0013245828604081368,5.511986370017895e-06,875351.6313059279
66,0.0184783935546875,0.018779514357447624,0.00030112048,0.0012938601027427915,5.259258471485187e-06,957633.2310893538
67,0.018779514357447624,0.0190790593624115,0.00029954468,0.0012854860581860419,5.191401453477184e-06,977687.9984078319
68,0.0190790593624115,0.019373290240764618,0.00029423094,0.0012695480261178842,5.06346884145847e-06,1009485.2621164031
69,0.019373290240764618,0.019659189507365227,0.00028589918,0.0012102670928372595,4.6016366427243596e-06,1187671.0123741718
70,0.019659189507365227,0.01993771828711033,0.0002785281,0.001174716105730082,4.335265692203061e-06,1303603.4300287496
71,0.01993771828711033,0.020214028656482697,0.00027631113,0.0011969742700110196,4.501108715929581e-06,1199685.2184831812
72,0.020214028656482697,0.020491082221269608,0.00027705278,0.0012105167710696515,4.603535474844813e-06,1149972.4169305274
73,0.020491082221269608,0.020767394453287125,0.00027631133,0.0011722383101861137,4.316996472659261e-06,1304197.1050966007
74,0.020767394453287125,0.021045589819550514,0.00027819496,0.0011736048773172863,4.327067640204075e-06,1306982.6222429443
75,0.021045589819550514,0.021330034360289574,0.00028444448,0.0011521346266997708,4.1701946928352e-06,1438774.668674227
76,0.021330034360289574,0.02162184938788414,0.0002918148,0.0011403272746913897,4.0851583624841545e-06,1538145.615288931
77,0.02162184938788414,0.021921802312135696,0.00029995202,0.0011308385896784635,4.017455854850846e-06,1634773.126369869
78,0.021921802312135696,0.022230735048651695,0.00030893288,0.0011362053305615152,4.055678473181339e-06,1652133.119178081
79,0.022230735048651695,0.022540533915162086,0.00030979948,0.0011069720184234567,3.849666952741043e-06,1838832.988702878
80,0.022540533915162086,0.022842753678560257,0.0003022207,0.001124269054368099,3.970913130482924e-06,1685975.8315739417
81,0.022842753678560257,0.023139167577028275,0.00029641422,0.0011152688300762588,3.90759011054243e-06,1707611.0242115532
82,0.023139167577028275,0.023434722796082497,0.00029555548,0.0010468469649121805,3.4428354742117028e-06,2193382.7237165156
83,0.023434722796082497,0.023737655952572823,0.0003029334,0.0009782495679716233,3.0064168873602512e-06,2948197.9895612616
84,0.023737655952572823,0.02405855804681778,0.00032090157,0.0009683225273309282,2.94570969245725e-06,3253118.5720681828
85,0.02405855804681778,0.02439924143254757,0.00034068275,0.0010151828433640686,3.237713467893025e-06,2858783.2060504365
86,0.02439924143254757,0.024748528376221657,0.0003492878,0.0009932835043414798,3.0995333881248824e-06,3198148.9434015267
87,0.024748528376221657,0.025091908872127533,0.00034338047,0.0010052492806497542,3.1746614230617244e-06,2997013.281720626
88,0.025091908872127533,0.025421222671866417,0.0003293141,0.0010272734801712545,3.315293834304099e-06,2635567.6842489694
89,0.025421222671866417,0.025735964998602867,0.00031474204,0.0009865149785002272,3.0574350500800205e-06,2961748.541151752
90,0.025735964998602867,0.02603902481496334,0.00030306028,0.0009474964623701107,2.8203633791176626e-06,3351404.2484602933
91,0.02603902481496334,0.02633621171116829,0.00029718768,0.0009522804918859935,2.8489160236230475e-06,3220916.197229968
92,0.02633621171116829,0.02663741447031498,0.0003012025,0.0010151810628848822,3.237702110970627e-06,2527508.8715840154
93,0.02663741447031498,0.026948614045977592,0.00031119992,0.0010073570412195542,3.187988348903157e-06,2693481.3477953756
94,0.026948614045977592,0.027266845107078552,0.0003182307,0.0009673944217997907,2.9400656654094454e-06,3238440.8156498447
95,0.027266845107078552,0.02758852206170559,0.00032167687,0.0008869956915626151,2.471683698810314e-06,4631716.384478532
96,0.02758852206170559,0.027912093326449394,0.0003235705,0.0008694825621559493,2.375043813300738e-06,5045841.255023074
97,0.027912093326449394,0.02823662757873535,0.00032453367,0.0009135829847890084,2.622079634730791e-06,4152177.8166161184
98,0.02823662757873535,0.028564753010869026,0.00032812558,0.0009524573355011466,2.8499742399648405e-06,3553580.238114868
99,0.028564753010869026,0.028901977464556694,0.0003372247,0.000977981712798448,3.0047707346919695e-06,3285523.5350756343
100,0.028901977464556694,0.02924821712076664,0.00034624024,0.0009920379734805055,3.0917649232517726e-06,3186196.253771237
101,0.02924821712076664,0.029590798541903496,0.00034258157,0.0009774427504399483,3.0014598096270583e-06,3345082.588929788
102,0.029590798541903496,0.02991436794400215,0.00032356856,0.00089459836920761,2.5142362110827506e-06,4502586.497960271
103,0.02991436794400215,0.030217943713068962,0.00030357644,0.0008778143142656077,2.42077925875253e-06,4556858.918380351
104,0.030217943713068962,0.03051152639091015,0.00029358224,0.0009616537036836794,2.905275286594697e-06,3059589.288411066
105,0.03051152639091015,0.03080475889146328,0.00029323186,0.0010079075676982115,3.19147380938323e-06,2532424.5389511646
106,0.03080475889146328,0.03110678680241108,0.0003020272,0.0010399733222184204,3.397772290055545e-06,2301258.6476406204
107,0.03110678680241108,0.03142685070633888,0.00032006548,0.0009982306307513955,3.130485214006124e-06,2872919.2798210736
108,0.03142685070633888,0.03176075965166092,0.00033390804,0.0009406779306389622,2.779916702556569e-06,3800766.8546665036
109,0.03176075965166092,0.03209339454770088,0.00033263362,0.0008092928735982641,2.0576016758674217e-06,6911167.831304014
110,0.03209339454770088,0.032414477318525314,0.00032108426,0.0007338308578536229,1.69177192199193e-06,9868322.044579383
111,0.032414477318525314,0.0327179878950119,0.000303512,0.0007118926835610768,1.592131488543125e-06,10532365.989204526
112,0.0327179878950119,0.033006440848112106,0.00028845112,0.0007407979352837441,1.7240481830457325e-06,8536529.210126609
113,0.033006440848112106,0.03328973054885864,0.00028329142,0.0007990662765173603,2.0059286311284957e-06,6193132.567601381
114,0.03328973054885864,0.03357190266251564,0.00028217037,0.0008670613487556793,2.361834850683634e-06,4449592.755072611
115,0.03357190266251564,0.03385427966713905,0.00028237727,0.0009146156609986182,2.6280107645193758e-06,3596527.464744024
116,0.03385427966713905,0.03414205089211464,0.0002877704,0.0009311628018647892,2.7239624064834914e-06,3411550.8058354813
117,0.03414205089211464,0.03443528339266777,0.0002932333,0.000997150507644059,3.1237142735827407e-06,2643495.620767802
