s_m,r_m,area_m2,dA_ds,kappa_per_m,Rc_m,r_mis_m,r_voreen_m
0.008810965809971094,0.0010198442681975412,3.267515011377433e-06,0.00022128096354990037,345.4764,0.0028945536,0.0008353708264374635,0.001025897741317749
0.009085364639759064,0.0009997182974731485,3.139822913717296e-06,0.00012908076044199426,413.81213,0.0024165555,0.0008109359029639571,0.0010291709899902344
0.009355833288282156,0.0010300451614079092,3.3332079228203208e-06,0.00035865588107600495,316.07962,0.0031637598,0.0008047364941013546,0.001029054820537567
0.009627421386539936,0.0010300802910859583,3.3334352847309253e-06,-0.0008933140455924674,124.63959,0.0080231335,0.0007798803996074644,0.0010521427392959596
0.009902983903884888,0.0009503322832890816,2.8372711243406845e-06,-0.0021833514546840673,112.318375,0.008903263,0.0007537208081137499,0.0009747170209884644
0.010181239806115627,0.0008218952459052698,2.1221828933445267e-06,-0.001642947225616977,235.5918,0.0042446298,0.0007104067459968446,0.000842038631439209
0.01046499377116561,0.0007826210665492613,1.924212097682228e-06,0.00018563888239334168,292.53427,0.003418403,0.0006811157503848486,0.0008204775154590606
0.010762021876871586,0.000847035893505443,2.2539978682041326e-06,0.00041349728510406327,330.7682,0.0030232654,0.0007438767828576188,0.0008583326637744904
0.011074602138251066,0.0008280417786519804,2.154043015796381e-06,-0.0004338684176190652,359.73776,0.0027798028,0.0007107358293837138,0.0008535239994525909
0.011394757777452469,0.0007934287340739432,1.9777241718803944e-06,-5.0269301211134515e-05,379.62598,0.0026341716,0.0006216228302733762,0.0008354919850826263
0.01171124866232276,0.0008211608567318279,2.1183921137755955e-06,0.00023270037498094882,394.28687,0.0025362244,0.0005697670399002857,0.0008615809381008148
0.01201695203781128,0.0008228274993932497,2.1269998926983547e-06,-0.00023008738009689268,394.32605,0.0025359725,0.0006259373720067192,0.0008687813282012939
0.01230871258303523,0.0007954793641510433,1.987960306155177e-06,2.799992514333988e-05,360.43744,0.0027744065,0.0006535124393840765,0.0008483786880970002
