s_m,distance_from_inlet_mm,radius_m,area_m2,pressure_1d_pa,pressure_1d_mmhg
0.026793014258146286,7.121416065518173,0.0010073570412195542,3.187988348903157e-06,149.97901317098783,1.1249351134461385
0.027107729576528072,7.436131383899959,0.0009673944217997907,2.9400656654094454e-06,78.67367564063615,0.5901010972190064
0.02742768358439207,7.756085391763958,0.0008869956915626151,2.4716836988103144e-06,-109.28122705214498,-0.8196766130957484
0.027750307694077492,8.078709501449378,0.0008694825621559493,2.3750438133007383e-06,-171.09891073309748,-1.2833473729861853
0.028074360452592373,8.402762259964259,0.0009135829847890084,2.622079634730791e-06,-62.841977214306695,-0.47135359322680714
0.02840069029480219,8.729092102174075,0.0009524573355011466,2.8499742399648405e-06,11.657813851277991,0.08744079501556701
0.02873336523771286,9.061767045084746,0.000977981712798448,3.0047707346919704e-06,49.91854792553552,0.374419901734235
0.029075097292661667,9.403499100033553,0.0009920379734805055,3.0917649232517726e-06,65.41239269079179,0.4906332948631079
0.029419507831335068,9.747909638706954,0.0009774427504399483,3.0014598096270583e-06,34.071271950721055,0.25555555651937606
0.029752583242952824,10.08098505032471,0.00089459836920761,2.51423621108275e-06,-150.8837974894193,-1.1317215539512415
0.030066155828535557,10.394557635907443,0.0008778143142656077,2.42077925875253e-06,-207.7477966764584,-1.558236624453433
0.030364735051989555,10.693136859361442,0.0009616537036836794,2.905275286594697e-06,-21.648669612026403,-0.16237837608784747
0.030658142641186714,10.9865444485586,0.0010079075676982115,3.19147380938323e-06,47.687440757837635,0.3576852217164162
0.03095577284693718,11.284174654309066,0.0010399733222184204,3.397772290055545e-06,85.27374867433781,0.6396057162316364
0.03126681875437498,11.595220561746867,0.0009982306307513955,3.1304852140061235e-06,21.82480202428929,0.1636994778272262
0.0315938051789999,11.922206986371787,0.0009406779306389622,2.779916702556569e-06,-87.83484204796383,-0.6588154963461482
0.0319270770996809,12.255478907052787,0.0008092928735982641,2.0576016758674217e-06,-497.9477813868301,-3.7349155198535784
0.0322539359331131,12.582337740484984,0.0007338308578536229,1.69177192199193e-06,-939.1764819856118,-7.044402946590415
0.03256623260676861,12.894634414140494,0.0007118926835610768,1.5921314885431252e-06,-1130.8740155824444,-8.48225269733016
0.032862214371562004,13.19061617893389,0.0007407979352837441,1.7240481830457327e-06,-936.0247274440078,-7.020762843366296
0.033148085698485374,13.47648750585726,0.0007990662765173603,2.0059286311284957e-06,-624.6858893855826,-4.685529508338635
0.03343081660568714,13.759218413059028,0.0008670613487556793,2.361834850683634e-06,-378.3059455013175,-2.837527949558453
0.03371309116482735,14.041492972199233,0.0009146156609986182,2.6280107645193758e-06,-258.8574412500246,-1.9415904857767345
0.033998165279626846,14.326567086998732,0.0009311628018647892,2.7239624064834914e-06,-229.51646857824693,-1.7215150917379964
0.034288667142391205,14.617068949763091,0.000997150507644059,3.1237142735827407e-06,-115.93622093342,-0.8695931723431435
0.03458113968372345,14.909541491095336,0.0010777434862736636,3.6490573262768467e-06,-18.9336920802399,-0.14201436986357682
0.03487149998545647,15.199901792828353,0.0011330264640460927,4.033016327641049e-06,27.89620186024073,0.2092387217442817
0.03516131639480591,15.489718202177794,0.0011894419311249545,4.444637659483118e-06,65.15236294557278,0.4886829113744272
0.03537927754223347,15.707679349605353,0.0012202822372971893,4.678110241927079e-06,81.41568298590234,0.6106678437177349
0.03567231819033623,16.000719997708114,0.0012410870647577832,4.838986060959883e-06,89.9470455553366,0.6746583255657189
