"U:0","U:1","U:2","p","Cell Type"
1.59012005e-02,4.99933995e-02,-1.78498998e-02,8.81637037e-02,5
1.59012005e-02,4.99933995e-02,-1.78498998e-02,8.81637037e-02,5
1.59012005e-02,4.99933995e-02,-1.78498998e-02,8.81637037e-02,5
1.59012005e-02,4.99933995e-02,-1.78498998e-02,8.81637037e-02,5
2.51543000e-02,7.49140978e-02,-3.13348994e-02,8.79694968e-02,5
2.51543000e-02,7.49140978e-02,-3.13348994e-02,8.79694968e-02,5
2.11328994e-02,6.67826012e-02,-2.92419996e-02,8.78544003e-02,5
2.11328994e-02,6.67826012e-02,-2.92419996e-02,8.78544003e-02,5
2.11328994e-02,6.67826012e-02,-2.92419996e-02,8.78544003e-02,5
1.95869002e-02,5.97135983e-02,-2.11757999e-02,8.81557018e-02,5
8.61634035e-03,4.30477001e-02,-2.22810004e-02,8.80161971e-02,5
8.61634035e-03,4.30477001e-02,-2.22810004e-02,8.80161971e-02,5
5.75456023e-03,2.79431995e-02,-1.10865002e-02,8.80798027e-02,5
5.75456023e-03,2.79431995e-02,-1.10865002e-02,8.80798027e-02,5
5.75456023e-03,2.79431995e-02,-1.10865002e-02,8.80798027e-02,5
5.75456023e-03,2.79431995e-02,-1.10865002e-02,8.80798027e-02,5
1.02081001e-02,2.94221006e-02,-1.09783998e-02,8.82373974e-02,5
1.02081001e-02,2.94221006e-02,-1.09783998e-02,8.82373974e-02,5
1.02081001e-02,2.94221006e-02,-1.09783998e-02,8.82373974e-02,5
1.22942002e-02,4.65845987e-02,-2.24552006e-02,8.81828964e-02,5
1.22942002e-02,4.65845987e-02,-2.24552006e-02,8.81828964e-02,5
1.45044997e-02,4.41628993e-02,-2.11877003e-02,8.83108005e-02,5
1.45044997e-02,4.41628993e-02,-2.11877003e-02,8.83108005e-02,5
8.59171990e-03,3.13570015e-02,-1.16164004e-02,8.81825015e-02,5
8.59171990e-03,3.13570015e-02,-1.16164004e-02,8.81825015e-02,5
8.59171990e-03,3.13570015e-02,-1.16164004e-02,8.81825015e-02,5
8.59171990e-03,3.13570015e-02,-1.16164004e-02,8.81825015e-02,5
9.71676037e-03,2.31282003e-02,-9.17586032e-03,8.82724971e-02,5
9.71676037e-03,2.31282003e-02,-9.17586032e-03,8.82724971e-02,5
9.71676037e-03,2.31282003e-02,-9.17586032e-03,8.82724971e-02,5
9.71676037e-03,2.31282003e-02,-9.17586032e-03,8.82724971e-02,5
1.24316998e-02,2.63704006e-02,-1.52172996e-02,8.84338021e-02,5
1.24316998e-02,2.63704006e-02,-1.52172996e-02,8.84338021e-02,5
9.91565990e-04,7.61571014e-03,-2.37019989e-03,8.84390026e-02,5
9.91565990e-04,7.61571014e-03,-2.37019989e-03,8.84390026e-02,5
9.91565990e-04,7.61571014e-03,-2.37019989e-03,8.84390026e-02,5
9.91565990e-04,7.61571014e-03,-2.37019989e-03,8.84390026e-02,5
1.45279998e-02,3.64794992e-02,-1.91878993e-02,8.83793011e-02,5
1.45279998e-02,3.64794992e-02,-1.91878993e-02,8.83793011e-02,5
7.70046003e-03,1.53893000e-02,-6.55156001e-03,8.83191973e-02,5
1.79949997e-03,1.02781001e-02,-3.96014983e-03,8.83978009e-02,5
6.92992005e-03,2.34660003e-02,-5.95364021e-03,8.81387964e-02,5
