"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0.010319,-0.027769,-0.0075039,0.38164,-0.45807,-0.035335,0.29346
0.010382,-0.027731,-0.0076341,0.36496,-0.43633,-0.03111,0.29475
0.010373,-0.027712,-0.0073845,0.38998,-0.46895,-0.037448,0.29282
0.010637,-0.027557,-0.0079729,0.20773,-0.27365,-0.011221,0.28661
0.010577,-0.027608,-0.0079743,0.21407,-0.28299,-0.014184,0.29056
0.0094936,-0.028419,-0.0072482,0.025696,-0.01436,-0.00056092,0.32369
0.0094619,-0.028445,-0.007249,0.014663,-0.0074316,7.5395e-05,0.32455
0.0096205,-0.028234,-0.006492,0.031592,-0.013067,0.0032887,0.31893
0.0096189,-0.028236,-0.0064985,0.038887,-0.01746,0.0065753,0.31936
0.010252,-0.027715,-0.0064869,0.21501,-0.26732,-0.016009,0.30421
0.010252,-0.027704,-0.006387,0.17908,-0.23329,-0.012669,0.30418
0.010331,-0.02765,-0.0064883,0.23656,-0.29247,-0.017591,0.30186
0.0098714,-0.028013,-0.006349,0.077983,-0.042634,-0.0012437,0.31316
0.0098796,-0.028006,-0.0063494,0.09738,-0.072431,-0.0057097,0.31173
0.010124,-0.027817,-0.0064512,0.18263,-0.17855,-0.012415,0.30404
0.010586,-0.027427,-0.0063602,0.016859,-0.042751,-0.0028167,0.3055
0.0097472,-0.028302,-0.0080992,0.011805,-0.004759,-0.00036725,0.31096
0.0097663,-0.028286,-0.0081008,0.011805,-0.004759,-0.00036725,0.31096
0.009618,-0.028399,-0.0080137,0.047352,-0.015734,-0.0081937,0.31599
0.0098675,-0.028195,-0.0080201,0.15087,-0.11757,-0.015372,0.30815
0.0098662,-0.028192,-0.0079825,0.17231,-0.14206,-0.018394,0.30806
0.0098357,-0.028218,-0.0079948,0.15386,-0.12005,-0.018008,0.31124
0.010638,-0.027575,-0.0081408,0.041388,-0.050137,0.0011839,0.29088
0.010636,-0.027579,-0.0081658,0.019712,-0.022,0.0010085,0.2901
0.01066,-0.027559,-0.008156,0.019712,-0.022,0.0010085,0.2901
0.0097357,-0.028289,-0.0078885,0.13898,-0.086639,-0.029221,0.31287
0.0097539,-0.028274,-0.0078883,0.1746,-0.14696,-0.023651,0.31174
0.0096129,-0.028376,-0.0077567,0.11317,-0.085961,-0.029372,0.31842
0.010644,-0.027488,-0.0073775,0.18979,-0.31218,-0.054991,0.29673
0.010892,-0.027271,-0.0072512,0.045208,-0.10618,-0.024496,0.29391
0.01077,-0.027358,-0.0071226,0.1296,-0.25437,-0.048216,0.30227
0.010666,-0.027443,-0.0071221,0.1622,-0.28891,-0.04944,0.30114
0.010868,-0.027269,-0.0070486,0.0066768,-0.033075,-0.0086915,0.31174
0.010858,-0.027273,-0.0070071,0.010194,-0.048358,-0.01246,0.30444
0.010857,-0.027274,-0.0070055,0.0070338,-0.032904,-0.0073012,0.30504
0.010642,-0.027409,-0.0066185,0.098174,-0.19143,-0.0073135,0.30472
0.010617,-0.027432,-0.0066417,0.12302,-0.22235,-0.015701,0.31034
