"U:0","U:1","U:2","p","Cell Type"
2.28707995e-02,-1.18397996e-02,-8.53858981e-03,3.22833002e-01,5
2.71068998e-02,-1.49958003e-02,-9.98864975e-03,3.21451008e-01,5
2.71068998e-02,-1.49958003e-02,-9.98864975e-03,3.21451008e-01,5
1.16888002e-01,-5.64825013e-02,-1.37972999e-02,3.11365008e-01,5
1.16888002e-01,-5.64825013e-02,-1.37972999e-02,3.11365008e-01,5
1.47113994e-01,-8.67313966e-02,-2.81052999e-02,3.10963005e-01,5
1.47113994e-01,-8.67313966e-02,-2.81052999e-02,3.10963005e-01,5
1.57260999e-01,-1.30514994e-01,-3.44716012e-02,3.15993011e-01,5
1.57260999e-01,-1.30514994e-01,-3.44716012e-02,3.15993011e-01,5
1.29950002e-01,-1.05366997e-01,-3.11278999e-02,3.18637013e-01,5
1.29950002e-01,-1.05366997e-01,-3.11278999e-02,3.18637013e-01,5
1.33965001e-01,-1.13923997e-01,-2.90558003e-02,3.19225013e-01,5
1.33965001e-01,-1.13923997e-01,-2.90558003e-02,3.19225013e-01,5
1.62055001e-01,-1.40751004e-01,-3.24236006e-02,3.16567987e-01,5
1.62055001e-01,-1.40751004e-01,-3.24236006e-02,3.16567987e-01,5
1.05374001e-01,-9.40302014e-02,-2.23897006e-02,3.20894986e-01,5
1.05374001e-01,-9.40302014e-02,-2.23897006e-02,3.20894986e-01,5
1.05374001e-01,-9.40302014e-02,-2.23897006e-02,3.20894986e-01,5
8.50483030e-02,-7.44882002e-02,-1.63840000e-02,3.22492003e-01,5
8.50483030e-02,-7.44882002e-02,-1.63840000e-02,3.22492003e-01,5
3.96527015e-02,-2.41666008e-02,-1.16125001e-02,3.21292013e-01,5
3.96527015e-02,-2.41666008e-02,-1.16125001e-02,3.21292013e-01,5
3.96527015e-02,-2.41666008e-02,-1.16125001e-02,3.21292013e-01,5
1.05607003e-01,-9.51204970e-02,-1.85844991e-02,3.21328998e-01,5
1.05607003e-01,-9.51204970e-02,-1.85844991e-02,3.21328998e-01,5
8.51911977e-02,-7.45273978e-02,-2.00961996e-02,3.22091013e-01,5
5.46291992e-02,-3.23332995e-02,-1.43419998e-02,3.20742011e-01,5
5.50093986e-02,-2.62311995e-02,-1.65267996e-02,3.19521010e-01,5
5.50093986e-02,-2.62311995e-02,-1.65267996e-02,3.19521010e-01,5
1.00611001e-01,-8.18139017e-02,-2.71684006e-02,3.19721013e-01,5
1.00611001e-01,-8.18139017e-02,-2.71684006e-02,3.19721013e-01,5
1.02930002e-01,-8.76178965e-02,-2.53714994e-02,3.20134014e-01,5
1.02930002e-01,-8.76178965e-02,-2.53714994e-02,3.20134014e-01,5
3.85258012e-02,-2.24843007e-02,-1.20154005e-02,3.20764989e-01,5
3.85258012e-02,-2.24843007e-02,-1.20154005e-02,3.20764989e-01,5
5.45555986e-02,-2.92006992e-02,-1.52943004e-02,3.20160002e-01,5
5.45555986e-02,-2.92006992e-02,-1.52943004e-02,3.20160002e-01,5
1.38603002e-01,-1.23942003e-01,-2.56117005e-02,3.20311993e-01,5
1.38603002e-01,-1.23942003e-01,-2.56117005e-02,3.20311993e-01,5
1.68244004e-01,-1.53675005e-01,-2.23961007e-02,3.18387985e-01,5
1.68244004e-01,-1.53675005e-01,-2.23961007e-02,3.18387985e-01,5
1.38757005e-01,-1.24996997e-01,-2.10794993e-02,3.20816994e-01,5
1.38757005e-01,-1.24996997e-01,-2.10794993e-02,3.20816994e-01,5
1.68452993e-01,-1.53244004e-01,-2.80843005e-02,3.17790002e-01,5
1.68452993e-01,-1.53244004e-01,-2.80843005e-02,3.17790002e-01,5
8.21126997e-02,-1.10834002e-01,-4.62521007e-03,2.79969990e-01,5
8.21126997e-02,-1.10834002e-01,-4.62521007e-03,2.79969990e-01,5
1.20591000e-01,-1.81589007e-01,-5.64118987e-03,2.86370009e-01,5
1.20591000e-01,-1.81589007e-01,-5.64118987e-03,2.86370009e-01,5
5.86442016e-02,-7.99269974e-02,-1.20054001e-05,2.80990988e-01,5
5.86442016e-02,-7.99269974e-02,-1.20054001e-05,2.80990988e-01,5
3.86876985e-02,-4.75886017e-02,1.58594002e-03,2.83980995e-01,5
3.86876985e-02,-4.75886017e-02,1.58594002e-03,2.83980995e-01,5
1.00933000e-01,-1.51694000e-01,-2.95234006e-03,2.87943006e-01,5
1.00933000e-01,-1.51694000e-01,-2.95234006e-03,2.87943006e-01,5
5.12382984e-02,-6.77101985e-02,1.03231997e-03,2.82106996e-01,5
5.12382984e-02,-6.77101985e-02,1.03231997e-03,2.82106996e-01,5
2.51413006e-02,-1.49886003e-02,1.43575994e-03,3.23096007e-01,5
2.51413006e-02,-1.49886003e-02,1.43575994e-03,3.23096007e-01,5
1.77912991e-02,-8.71451013e-03,5.77907020e-04,3.23329002e-01,5
7.88365975e-02,-2.07597002e-01,-2.46932004e-02,2.96550989e-01,5
7.88365975e-02,-2.07597002e-01,-2.46932004e-02,2.96550989e-01,5
1.21159002e-01,-2.35351995e-01,-2.16968004e-02,2.99620986e-01,5
1.21159002e-01,-2.35351995e-01,-2.16968004e-02,2.99620986e-01,5
1.21159002e-01,-2.35351995e-01,-2.16968004e-02,2.99620986e-01,5
