"U:0","U:1","U:2","p","Cell Type"
6.31736964e-02,-1.07261002e-01,-1.74412001e-02,4.30346012e-01,5
6.31736964e-02,-1.07261002e-01,-1.74412001e-02,4.30346012e-01,5
6.31736964e-02,-1.07261002e-01,-1.74412001e-02,4.30346012e-01,5
4.03897986e-02,-1.18258998e-01,-4.88727018e-02,4.04484004e-01,5
4.03897986e-02,-1.18258998e-01,-4.88727018e-02,4.04484004e-01,5
4.03897986e-02,-1.18258998e-01,-4.88727018e-02,4.04484004e-01,5
2.10111998e-02,-1.11727998e-01,2.54999002e-04,4.18857008e-01,5
2.10111998e-02,-1.11727998e-01,2.54999002e-04,4.18857008e-01,5
1.59581006e-02,-3.09258997e-02,-5.92964981e-03,4.31275010e-01,5
1.59581006e-02,-3.09258997e-02,-5.92964981e-03,4.31275010e-01,5
6.96998015e-02,-1.49192005e-01,-2.86062006e-02,4.29113001e-01,5
6.96998015e-02,-1.49192005e-01,-2.86062006e-02,4.29113001e-01,5
3.83942015e-02,-7.81198964e-02,-1.43873999e-02,4.31632012e-01,5
3.83942015e-02,-7.81198964e-02,-1.43873999e-02,4.31632012e-01,5
1.98509004e-02,-3.92647982e-02,-8.14187992e-03,4.31531012e-01,5
1.98509004e-02,-3.92647982e-02,-8.14187992e-03,4.31531012e-01,5
4.67953011e-02,-9.23060030e-02,-1.76293999e-02,4.31502014e-01,5
4.67953011e-02,-9.23060030e-02,-1.76293999e-02,4.31502014e-01,5
7.58221000e-02,-1.57547995e-01,-2.95730997e-02,4.29450005e-01,5
7.58221000e-02,-1.57547995e-01,-2.95730997e-02,4.29450005e-01,5
2.04012003e-02,-4.00810987e-02,-9.85872000e-03,4.31540012e-01,5
2.04012003e-02,-4.00810987e-02,-9.85872000e-03,4.31540012e-01,5
2.07046997e-02,-3.99109982e-02,-8.70027021e-03,4.31557000e-01,5
2.07046997e-02,-3.99109982e-02,-8.70027021e-03,4.31557000e-01,5
4.96711992e-02,-9.50573012e-02,-1.87497009e-02,4.31571990e-01,5
4.96711992e-02,-9.50573012e-02,-1.87497009e-02,4.31571990e-01,5
7.76617005e-02,-1.56497002e-01,-2.83188000e-02,4.29924011e-01,5
7.76617005e-02,-1.56497002e-01,-2.83188000e-02,4.29924011e-01,5
7.84517974e-02,-1.58528000e-01,-2.94774994e-02,4.29877013e-01,5
7.84517974e-02,-1.58528000e-01,-2.94774994e-02,4.29877013e-01,5
4.94889989e-02,-9.50500965e-02,-2.00881995e-02,4.31598991e-01,5
4.94889989e-02,-9.50500965e-02,-2.00881995e-02,4.31598991e-01,5
1.21566001e-02,-3.02946009e-02,-5.05176978e-03,4.31638986e-01,5
1.21566001e-02,-3.02946009e-02,-5.05176978e-03,4.31638986e-01,5
5.31923994e-02,-1.24518000e-01,-1.62409004e-02,4.29477990e-01,5
5.31923994e-02,-1.24518000e-01,-1.62409004e-02,4.29477990e-01,5
3.05876005e-02,-8.73724967e-02,-1.30442996e-02,4.30023998e-01,5
3.05876005e-02,-8.73724967e-02,-1.30442996e-02,4.30023998e-01,5
1.56664997e-02,-3.48912999e-02,-7.73386005e-03,4.31603014e-01,5
1.56664997e-02,-3.48912999e-02,-7.73386005e-03,4.31603014e-01,5
6.17128015e-02,-1.34480998e-01,-2.02941000e-02,4.29403991e-01,5
6.17128015e-02,-1.34480998e-01,-2.02941000e-02,4.29403991e-01,5
1.77464001e-02,-3.74836996e-02,-9.40475985e-03,4.31616008e-01,5
1.77464001e-02,-3.74836996e-02,-9.40475985e-03,4.31616008e-01,5
3.61317992e-02,-9.38163996e-02,-1.39274001e-02,4.29744989e-01,5
