"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
0.00080952,-0.0024832,-0.00098185,0.084374,0.014357,-0.034886,-0.0064421
0.0007798,-0.0015263,-0.0011444,0.084235,0.014348,-0.034895,-0.0065189
0.00018617,-0.00080061,-0.00055634,0.08434,0.014314,-0.034905,-0.0064321
0.0010763,-0.0044149,-0.00090026,0.084507,0.014355,-0.034882,-0.0063787
0.00024083,-0.0013951,-0.00066668,0.084453,0.014304,-0.034906,-0.0063764
0.0012223,-0.0085916,-0.00077967,0.084562,0.014352,-0.034876,-0.006267
0.00020767,-0.0029564,-0.00040777,0.084601,0.014285,-0.034906,-0.0062504
7.7488e-05,-0.0050683,-0.0005328,0.084554,0.01435,-0.034876,-0.0062526
0.0011865,-0.0061923,-0.0006567,0.084593,0.014352,-0.034879,-0.0063158
0.00024676,-0.0021927,-0.00056515,0.084537,0.014295,-0.034906,-0.0063162
0.0023503,-0.017102,-0.0010907,0.084587,0.014351,-0.034875,-0.0062527
-0.00038342,-0.0069496,0.00057868,0.08464,0.014285,-0.034889,-0.0059961
-5.7168e-05,-0.0075723,9.3094e-05,0.084622,0.014317,-0.034878,-0.0060602
-0.00012119,-0.0058528,0.0004302,0.084659,0.014286,-0.034893,-0.00606
-0.00033192,-0.0083492,0.00014995,0.08459,0.014308,-0.034878,-0.005996
0.00081287,-0.018746,-0.00080675,0.084634,0.014349,-0.034858,-0.005996
0.0013297,-0.018239,-0.00063433,0.084646,0.01435,-0.034863,-0.0060608
0.0017593,-0.018729,-0.00054365,0.084687,0.014351,-0.034866,-0.0061246
-1.1427e-05,-0.0069987,-0.00011889,0.084631,0.014334,-0.034875,-0.006125
4.7e-05,-0.0049074,0.00016582,0.08467,0.014283,-0.034899,-0.006126
0.0012415,-0.014438,-0.00069121,0.084639,0.014351,-0.034871,-0.0061887
-8.6159e-05,-0.0061583,-0.00031768,0.084619,0.014333,-0.034879,-0.0061885
0.00013968,-0.003933,-9.2716e-05,0.084661,0.014281,-0.034904,-0.006188
0.06548,-0.14222,0.057133,0.080146,0.016025,-0.034085,-0.0063169
0.029438,-0.075569,0.025339,0.079518,0.016066,-0.034065,-0.0063146
0.047615,-0.10701,0.039121,0.079036,0.016023,-0.034091,-0.0063793
0.025048,-0.066734,0.02003,0.078519,0.016061,-0.034072,-0.0063772
0.077275,-0.16742,0.069233,0.078361,0.01602,-0.034079,-0.0061903
0.087963,-0.18243,0.070122,0.076663,0.016018,-0.034075,-0.0061279
0.045361,-0.10977,0.041151,0.076921,0.016075,-0.034053,-0.0061877
0.056113,-0.12458,0.037716,0.075051,0.016078,-0.034047,-0.0061286
0.11192,-0.24725,0.067797,0.074151,0.01601,-0.034058,-0.0058172
0.047569,-0.16497,0.038976,0.074462,0.01607,-0.03403,-0.0058164
0.11438,-0.2471,0.07151,0.073933,0.016013,-0.034061,-0.0058814
0.033229,-0.13628,0.030225,0.075215,0.016084,-0.034028,-0.0058912
0.053188,-0.15992,0.031283,0.073419,0.016069,-0.034026,-0.0057523
0.034416,-0.11791,0.024295,0.071006,0.016115,-0.034008,-0.0058103
0.042204,-0.12459,0.017076,0.07197,0.016121,-0.034001,-0.0057494
0.021928,-0.097447,0.020307,0.072338,0.016108,-0.034015,-0.005875
0.060137,-0.172,0.027698,0.076478,0.016071,-0.03402,-0.0056891
